Element, data.x, data.y, data.z, data.w
0,  0.00,  0.00,  0.00,  0.00
1,  0.00097752,  0.00097752,  0.00097752,  0.00
2,  0.00293255,  0.00293255,  0.00293255,  0.00
3,  0.00391007,  0.00391007,  0.00391007,  0.00
4,  0.0058651,  0.0058651,  0.0058651,  0.00
5,  0.00684262,  0.00684262,  0.00684262,  0.00
6,  0.00782014,  0.00782014,  0.00782014,  0.00
7,  0.00977517,  0.00977517,  0.00977517,  0.00
8,  0.01075269,  0.01075269,  0.01075269,  0.00
9,  0.01270772,  0.01270772,  0.01270772,  0.00
10,  0.01368524,  0.01368524,  0.01368524,  0.00
11,  0.01466276,  0.01466276,  0.01466276,  0.00
12,  0.01661779,  0.01661779,  0.01661779,  0.00
13,  0.01759531,  0.01759531,  0.01759531,  0.00
14,  0.01955034,  0.01955034,  0.01955034,  0.00
15,  0.02150538,  0.02150538,  0.02150538,  0.00
16,  0.02346041,  0.02346041,  0.02346041,  0.00
17,  0.02541544,  0.02541544,  0.02541544,  0.00
18,  0.02737048,  0.02737048,  0.02737048,  0.00
19,  0.02932551,  0.02932551,  0.02932551,  0.00
20,  0.03128055,  0.03128055,  0.03128055,  0.00
21,  0.03323558,  0.03323558,  0.03323558,  0.00
22,  0.03616813,  0.03616813,  0.03616813,  0.00
23,  0.03812317,  0.03812317,  0.03812317,  0.00
24,  0.04105572,  0.04105572,  0.04105572,  0.00
25,  0.04398827,  0.04398827,  0.04398827,  0.00
26,  0.0459433,  0.0459433,  0.0459433,  0.00
27,  0.04887586,  0.04887586,  0.04887586,  0.00
28,  0.05180841,  0.05180841,  0.05180841,  0.00
29,  0.05474096,  0.05474096,  0.05474096,  0.00
30,  0.05767351,  0.05767351,  0.05767351,  0.00
31,  0.06158358,  0.06158358,  0.06158358,  0.00
32,  0.06451613,  0.06451613,  0.06451613,  0.00
33,  0.0684262,  0.0684262,  0.0684262,  0.00
34,  0.07135875,  0.07135875,  0.07135875,  0.00
35,  0.07526882,  0.07526882,  0.07526882,  0.00
36,  0.07917888,  0.07917888,  0.07917888,  0.00
37,  0.08308896,  0.08308896,  0.08308896,  0.00
38,  0.08699902,  0.08699902,  0.08699902,  0.00
39,  0.09090909,  0.09090909,  0.09090909,  0.00
40,  0.09481916,  0.09481916,  0.09481916,  0.00
41,  0.09872923,  0.09872923,  0.09872923,  0.00
42,  0.1026393,  0.1026393,  0.1026393,  0.00
43,  0.10654937,  0.10654937,  0.10654937,  0.00
44,  0.11045943,  0.11045943,  0.11045943,  0.00
45,  0.1143695,  0.1143695,  0.1143695,  0.00
46,  0.11827957,  0.11827957,  0.11827957,  0.00
47,  0.12218964,  0.12218964,  0.12218964,  0.00
48,  0.12609971,  0.12609971,  0.12609971,  0.00
49,  0.13000977,  0.13000977,  0.13000977,  0.00
50,  0.13391985,  0.13391985,  0.13391985,  0.00
51,  0.13782991,  0.13782991,  0.13782991,  0.00
52,  0.14173998,  0.14173998,  0.14173998,  0.00
53,  0.14565004,  0.14565004,  0.14565004,  0.00
54,  0.14956012,  0.14956012,  0.14956012,  0.00
55,  0.15347019,  0.15347019,  0.15347019,  0.00
56,  0.15738025,  0.15738025,  0.15738025,  0.00
57,  0.16129032,  0.16129032,  0.16129032,  0.00
58,  0.1652004,  0.1652004,  0.1652004,  0.00
59,  0.16911046,  0.16911046,  0.16911046,  0.00
60,  0.17302053,  0.17302053,  0.17302053,  0.00
61,  0.17693059,  0.17693059,  0.17693059,  0.00
62,  0.18084067,  0.18084067,  0.18084067,  0.00
63,  0.18475074,  0.18475074,  0.18475074,  0.00
64,  0.1886608,  0.1886608,  0.1886608,  0.00
